"","ESP_CAT_0_10","ESP_CAT_0_10_CEC","ESP_CAT_0_10_Cs","ESP_CAT_0_10_CUP","ESP_CAT_0_10_ERC","ESP_CAT_0_10_JXCAT","ESP_CAT_0_10_PPC","ESP_CAT_0_10_PSC","ESP_CAT_0_10_VOX","IDEOL_0_10","IDEOL_0_10_CEC","IDEOL_0_10_Cs","IDEOL_0_10_CUP","IDEOL_0_10_ERC","IDEOL_0_10_JXCAT","IDEOL_0_10_PPC","IDEOL_0_10_PSC","IDEOL_0_10_VOX","RISCOS","SIMPATIA_CEC_0_10","SIMPATIA_CONTRARIS_FEMINISME_0_10","SIMPATIA_Cs_0_10","SIMPATIA_CUP_0_10","SIMPATIA_DRETES_0_10","SIMPATIA_ERC_0_10","SIMPATIA_ESQUERRES_0_10","SIMPATIA_FEMINISTES_0_10","SIMPATIA_INDEPENDENTISTES_0_10","SIMPATIA_JXCAT_0_10","SIMPATIA_PP_0_10","SIMPATIA_PSC_0_10","SIMPATIA_UNIONISTES_0_10","SIMPATIA_VOTANTS_CEC_0_10","SIMPATIA_VOTANTS_Cs_0_10","SIMPATIA_VOTANTS_CUP_0_10","SIMPATIA_VOTANTS_ERC_0_10","SIMPATIA_VOTANTS_JXCAT_0_10","SIMPATIA_VOTANTS_PP_0_10","SIMPATIA_VOTANTS_PSC_0_10","SIMPATIA_VOTANTS_VOX_0_10","SIMPATIA_VOX_0_10","VAL_C_PUIGDEMONT","VAL_GOV_CAT","VAL_GOV_ESP","VAL_I_ARRIMADAS","VAL_O_JUNQUERAS","Clusters"
"364",10,0,0,0,4,10,0,0,0,5,5,10,0,6,7,10,10,10,7,0,4,0,1,5,0,5,8,10,5,0,0,0,3,0,5,4,8,0,1,0,0,0,0,0,0,0,"3"
"365",5,8,3,9,9,9,0,6,0,3,4,7,3,3,3,9,2,10,7,6,0,5,6,0,5,9,9,6,5,0,7,7,5,4,5,5,6,2,8,0,0,7,6,6,6,8,"2"
"366",5,5,2,9,4,6,2,6,0,4,2,7,2,5,5,6,5,10,8,8,3,1,3,5,5,7,7,7,4,1,6,5,6,3,3,5,4,5,6,2,0,5,6,6,3,5,"2"
"367",8,5,10,0,2,2,10,8,10,5,2,10,1,5,5,8,7,10,6,4,4,0,0,5,8,6,4,10,6,3,6,4,5,0,0,10,6,4,7,0,0,4,6,6,0,8,"2"
"368",8,8,0,7,10,8,2,7,0,8,8,10,6,0,7,10,7,10,8,7,0,0,2,0,10,9,7,10,8,0,5,0,0,0,0,10,8,0,7,0,0,10,7,8,0,10,"3"
"369",7,5,2,9,9,8,1,4,0,3,3,7,2,3,8,8,4,9,6,8,1,0,6,2,6,8,7,5,4,0,5,2,8,3,7,6,4,2,6,0,0,4,5,5,4,6,"3"
"370",10,3,0,8,6,7,0,1,0,5,2,9,2,4,7,10,8,10,2,1,2,0,4,5,3,5,5,8,7,0,0,2,2,0,4,4,7,0,2,0,0,10,4,0,0,0,"3"
"371",5,7,1,10,10,10,1,5,0,2,3,8,1,3,7,10,3,10,5,5,1,0,0,5,5,9,9,7,0,0,7,9,8,5,0,5,0,5,8,0,0,0,5,5,0,6,"2"
"372",5,5,3,10,9,8,2,5,0,6,2,5,2,3,5,8,3,10,8,3,0,4,2,6,6,8,10,7,7,5,7,5,3,4,1,3,8,5,5,0,0,3,7,7,5,3,"2"
"373",10,4,0,2,6,7,0,3,0,0,8,9,6,3,4,9,5,10,7,1,3,0,1,0,6,9,9,10,6,0,4,1,1,0,1,8,9,0,1,0,0,9,5,3,1,10,"3"
"374",6,5,0,9,8,10,1,5,0,5,4,10,2,3,8,9,5,10,5,4,0,0,3,5,7,7,8,7,0,2,5,6,5,0,5,8,7,0,6,0,0,6,5,5,0,8,"3"
"375",10,5,5,8,1,9,0,4,0,5,6,8,8,1,7,10,1,10,8,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"376",10,5,0,9,8,8,0,3,0,2,3,8,0,3,6,8,5,10,6,6,0,0,9,5,8,9,9,8,7,0,3,5,7,4,8,7,6,4,5,0,0,8,3,3,0,7,"3"
"377",10,8,0,9,10,8,0,4,0,3,4,10,4,1,3,10,5,10,10,7,2,0,7,0,10,8,6,8,5,0,2,1,6,0,4,8,7,0,5,0,0,5,5,0,0,8,"3"
"378",10,10,0,6,10,9,1,1,0,6,0,0,4,5,6,9,0,0,5,4,0,0,5,2,5,5,7,7,9,2,0,6,0,0,4,4,9,0,0,0,1,10,1,1,0,4,"3"
"379",8,9,0,8,10,8,0,4,0,9,8,0,6,1,8,0,3,0,7,5,0,0,7,8,7,8,5,10,8,0,3,0,5,3,6,9,9,2,2,0,0,10,5,3,2,8,"3"
"380",7,4,2,9,9,4,1,4,0,2,5,7,0,2,6,9,6,10,8,4,0,0,2,0,10,10,8,8,4,0,4,0,6,0,4,7,5,0,4,0,0,7,4,2,2,5,"3"
"381",7,5,0,9,8,8,0,2,0,7,4,9,1,2,3,9,5,10,7,4,0,0,6,4,6,8,7,7,7,0,2,0,6,1,7,8,8,1,3,0,0,10,5,4,0,8,"3"
"382",9,2,0,10,8,9,0,1,0,5,4,7,2,3,6,9,6,10,7,1,0,0,8,3,6,4,8,10,7,0,0,3,3,0,5,6,5,0,3,0,0,5,3,0,0,3,"3"
"383",9,5,1,10,9,7,1,2,0,4,5,9,2,4,5,10,7,10,8,5,0,0,5,3,4,8,9,9,5,0,3,4,5,0,7,4,8,0,3,0,0,9,4,2,0,4,"3"
"384",5,3,1,4,4,4,1,5,0,4,3,8,3,6,8,9,4,10,8,3,0,2,0,2,2,9,10,0,0,1,8,0,4,3,1,3,3,1,10,0,0,0,0,5,2,3,"2"
"385",8,8,0,10,8,8,0,3,0,2,4,10,0,1,3,10,4,10,10,3,0,0,7,0,8,8,10,8,3,0,1,0,4,1,8,8,3,0,1,0,0,6,5,5,0,6,"3"
"386",7,7,0,9,10,6,0,6,0,2,1,8,1,1,5,9,4,10,7,9,2,0,8,2,6,8,7,8,6,0,6,5,9,2,8,7,7,2,7,0,0,7,7,7,2,7,"3"
"387",6,6,7,6,6,6,1,5,0,4,4,5,4,4,3,5,4,10,4,5,7,2,3,3,4,4,5,2,7,0,5,7,5,3,4,5,6,3,3,0,0,1,3,3,3,7,"2"
"388",5,5,7,9,2,2,3,2,2,7,3,3,0,3,3,3,3,9,8,0,0,0,0,6,0,2,5,5,0,0,0,5,0,0,0,0,0,6,0,6,0,0,0,0,0,0,"1"
"389",5,8,2,10,9,7,0,5,0,5,4,10,0,2,4,10,5,10,10,0,5,0,0,5,0,5,5,5,3,0,5,5,5,5,5,5,5,5,5,5,0,0,5,5,0,2,"2"
"390",8,7,0,8,8,7,0,5,0,2,2,10,1,5,9,10,4,10,1,9,0,0,9,3,6,8,9,8,4,0,6,1,9,0,8,7,5,1,6,0,0,7,6,5,1,7,"3"
"391",9,8,2,9,8,9,0,5,0,3,4,5,1,9,8,10,7,10,3,3,5,2,3,0,4,2,5,5,4,0,1,1,5,0,6,5,6,2,5,0,0,1,3,3,0,7,"3"
"392",9,5,1,10,9,9,1,2,0,7,2,8,1,3,7,9,4,10,8,7,2,1,7,5,8,5,5,8,9,3,5,5,5,4,5,5,5,5,5,3,0,7,7,6,2,9,"3"
"393",6,3,6,6,7,5,3,3,0,5,4,5,6,5,5,7,4,10,6,4,5,5,5,5,5,5,6,5,5,5,4,5,5,6,6,6,6,6,5,3,0,6,7,6,8,8,"2"
"394",5,9,2,8,9,9,2,4,0,5,6,5,3,4,5,6,6,8,5,4,5,4,4,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,"2"
"395",10,5,0,8,7,7,1,3,0,2,5,9,2,6,7,10,7,10,7,5,0,0,8,4,6,9,10,8,6,0,3,2,7,1,8,7,7,2,7,0,0,8,2,2,1,4,"3"
"396",5,5,0,6,6,6,3,5,0,5,4,10,4,4,6,7,4,10,5,5,5,4,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,0,5,"2"
"397",9,5,0,9,9,8,0,1,0,2,3,9,1,3,5,9,8,10,7,6,3,0,6,3,9,8,8,8,8,2,5,4,7,2,7,9,8,3,4,2,0,7,6,4,2,9,"3"
"398",5,3,0,3,3,3,0,3,0,5,3,0,3,3,3,2,3,0,5,3,0,0,0,2,3,3,5,3,3,0,3,10,3,0,2,3,3,0,2,0,0,0,5,5,0,0,"2"
"399",7,7,6,10,9,7,0,5,0,7,3,3,0,8,5,10,3,10,9,4,0,0,0,0,8,10,0,10,5,0,5,0,5,7,0,10,10,0,5,0,0,7,5,6,0,10,"3"
"400",5,7,1,9,8,8,2,6,0,3,3,6,1,5,6,8,6,10,7,6,0,3,3,5,6,5,10,4,3,0,8,5,7,5,5,5,4,4,7,0,0,0,4,6,2,6,"2"
"401",7,2,0,10,10,9,0,4,0,5,2,9,0,1,5,10,7,10,5,0,0,0,0,1,0,9,2,7,0,0,0,0,3,0,3,5,5,0,5,0,0,10,6,4,0,9,"3"
"402",8,6,0,10,10,9,0,5,0,4,2,6,0,3,6,8,5,10,6,8,3,3,10,3,8,7,7,5,5,3,7,5,5,5,5,5,5,5,5,5,0,4,6,7,4,6,"2"
"403",10,3,0,8,6,8,0,2,0,4,5,8,3,4,4,9,4,10,7,3,0,0,5,3,5,8,10,10,8,0,1,3,4,0,5,5,8,0,2,0,0,10,4,3,0,4,"3"
"404",5,8,2,9,9,4,2,7,1,5,2,8,1,1,7,8,5,10,6,5,0,1,0,5,5,7,10,7,7,2,4,7,7,2,2,5,5,2,4,2,1,6,4,6,2,6,"2"
"405",10,3,0,5,5,8,0,1,0,3,2,10,1,5,5,10,5,10,7,2,0,0,8,0,6,8,8,8,7,0,2,0,4,0,8,6,8,0,3,0,0,7,6,2,1,5,"3"
"406",10,5,1,9,9,7,3,5,0,5,3,5,1,4,5,7,5,10,6,6,0,2,5,0,8,10,10,10,5,2,6,2,8,4,6,8,6,4,5,2,0,6,7,6,5,8,"3"
"407",9,5,0,10,8,10,0,0,0,2,3,9,0,3,1,9,6,10,1,5,3,0,6,3,6,8,5,8,8,0,2,2,4,0,5,6,7,2,2,0,0,8,5,5,0,8,"3"
"408",8,4,2,10,7,7,2,3,0,3,2,8,1,5,6,7,4,10,7,5,2,1,5,5,6,7,8,7,6,2,4,5,5,2,5,6,6,3,4,0,0,6,4,5,1,6,"3"
"409",8,7,0,9,8,9,1,5,0,3,3,8,1,3,4,9,4,10,5,6,0,0,3,4,8,8,7,9,7,0,6,2,7,2,1,8,8,3,6,0,0,7,8,6,0,8,"3"
"410",6,1,1,10,10,7,0,1,0,3,10,8,0,0,3,10,7,10,7,2,3,2,5,3,8,8,8,7,8,0,5,3,0,0,0,9,9,2,6,0,0,8,6,3,3,7,"3"
"411",10,7,0,10,7,7,0,7,0,5,7,10,2,6,5,7,7,10,7,7,0,3,7,0,6,10,3,10,7,3,4,0,7,0,9,7,7,0,4,0,0,6,7,7,9,6,"3"
"412",8,6,5,8,9,8,0,4,0,6,5,9,2,2,4,10,5,10,8,5,3,0,6,2,9,8,4,6,6,0,5,5,5,3,5,8,6,0,6,0,0,5,5,6,2,9,"3"
"413",10,3,0,9,10,9,0,2,0,2,3,10,1,2,2,10,5,10,3,2,2,0,6,0,8,8,5,10,10,0,0,3,5,0,8,8,9,2,5,0,0,10,3,0,0,7,"3"
"414",5,6,0,10,10,10,0,5,0,4,4,10,7,1,9,10,3,10,8,7,0,3,1,0,6,9,8,5,6,0,8,5,2,0,1,5,5,0,7,0,0,0,5,9,0,7,"2"
"415",5,5,5,5,5,5,5,6,5,5,0,4,4,3,3,10,0,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,0,0,"1"
"416",7,8,3,7,9,7,1,5,0,5,4,8,1,3,9,10,5,10,7,7,0,4,5,0,7,8,9,6,0,0,5,4,9,4,5,9,1,0,5,0,0,5,5,0,3,8,"3"
"417",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,0,6,5,5,5,5,5,5,5,3,6,5,5,5,5,5,5,5,5,0,0,0,5,5,5,7,"2"
"418",5,5,3,10,9,7,0,5,0,3,8,6,0,3,8,8,4,10,7,6,1,6,2,3,4,7,8,3,2,4,7,5,6,6,3,2,2,4,8,4,0,0,5,5,6,5,"2"
"419",10,5,1,5,9,6,0,3,0,2,5,8,2,1,4,10,6,10,8,4,0,0,6,0,6,8,8,8,7,0,4,0,5,4,6,8,6,0,5,0,0,6,0,0,2,8,"3"
"420",5,7,1,9,9,8,1,5,0,3,2,8,1,1,5,8,5,10,8,3,0,0,4,2,5,7,10,5,5,2,4,5,5,2,4,7,5,5,5,2,0,7,4,2,0,9,"3"
"421",2,6,4,9,9,7,3,6,0,5,4,6,0,0,4,8,6,10,1,5,4,6,0,8,0,7,6,2,5,0,5,10,5,7,1,1,4,5,5,0,0,0,0,0,8,0,"1"
"422",10,7,2,2,7,8,1,6,0,3,2,9,2,4,4,9,4,10,8,6,0,0,7,5,4,8,8,8,7,1,6,1,6,1,8,5,8,3,4,1,0,8,5,6,2,6,"3"
"423",10,4,0,10,8,8,0,4,0,2,5,10,1,1,6,10,7,10,3,4,0,0,5,0,7,8,6,8,4,0,3,0,4,0,4,8,3,0,3,0,0,3,4,3,0,7,"3"
"424",4,8,2,4,10,10,10,10,0,5,1,2,5,0,3,3,1,10,5,6,0,8,5,1,4,5,8,5,7,7,7,7,7,7,6,5,6,7,7,0,0,5,5,5,7,8,"2"
"425",2,7,4,9,7,8,2,5,1,7,2,5,1,4,5,7,4,9,7,0,4,4,0,5,5,5,2,4,4,6,2,7,2,4,2,4,5,7,2,5,4,2,4,2,2,5,"1"
"426",0,7,0,8,8,8,1,7,0,9,3,2,1,2,3,2,3,7,8,2,8,6,0,7,1,4,1,4,0,5,0,10,2,5,0,2,2,5,0,6,7,0,2,1,4,0,"1"
"427",7,5,0,10,9,9,1,3,0,2,3,9,1,3,5,8,5,10,4,7,2,0,3,3,6,7,7,5,6,1,6,5,7,1,3,7,5,1,7,0,0,3,5,3,0,7,"3"
"428",5,6,2,10,8,8,1,5,0,5,3,5,1,5,8,7,5,10,5,5,3,3,2,5,6,6,6,7,4,1,8,5,7,7,7,7,7,7,7,3,0,2,4,4,3,8,"2"
"429",8,6,0,10,9,8,0,4,0,7,3,8,0,4,6,8,6,10,8,6,5,0,3,8,8,8,6,9,5,2,5,5,6,6,6,6,6,6,6,3,0,7,4,3,3,8,"2"
"430",5,10,3,10,10,8,2,3,3,7,7,7,0,0,0,7,7,8,0,0,0,6,0,5,0,5,8,6,3,4,4,8,5,5,5,5,5,5,5,5,0,0,2,2,5,0,"1"
"431",4,6,1,10,10,8,2,6,0,5,1,5,0,1,7,8,3,10,10,1,0,9,0,5,0,5,7,1,0,3,8,9,3,7,0,3,2,5,7,3,0,0,0,2,7,0,"1"
"432",7,5,0,10,8,7,0,2,0,2,3,10,0,5,7,10,7,10,6,5,1,0,8,4,5,6,8,5,2,0,3,5,5,5,5,5,5,5,5,5,0,4,4,4,0,3,"3"
"433",5,9,7,7,8,10,0,3,0,8,8,7,3,3,5,9,4,10,5,6,0,4,6,0,4,7,10,3,5,2,7,3,5,3,6,7,5,3,5,0,0,0,6,6,3,2,"2"
"434",4,7,3,9,8,9,2,7,0,5,3,9,8,1,7,10,1,10,5,3,2,4,2,5,2,5,7,7,1,2,4,8,5,7,2,5,2,4,5,1,0,2,5,5,5,2,"2"
"435",4,5,1,10,6,8,0,5,0,5,5,7,0,5,5,8,4,10,7,6,3,3,4,5,5,5,5,3,5,0,7,5,5,4,4,5,5,3,9,0,0,4,6,4,3,7,"2"
"436",10,10,0,10,10,10,0,5,0,2,0,9,1,1,6,10,4,10,6,9,0,1,6,0,8,9,8,5,3,0,4,0,9,0,7,10,4,0,5,0,0,7,3,3,0,8,"3"
"437",7,5,1,7,7,8,0,5,0,5,5,9,6,1,2,10,4,10,5,6,0,2,4,0,5,8,8,8,6,0,4,2,6,0,5,6,6,0,4,0,0,8,4,6,0,7,"3"
"438",5,10,1,10,8,5,0,3,0,4,3,5,0,1,6,9,5,10,5,0,5,2,0,5,1,7,5,5,0,0,10,5,0,2,0,5,3,0,7,0,0,0,1,2,1,3,"2"
"439",6,4,5,10,10,8,4,3,0,1,3,5,0,0,4,3,7,10,4,9,0,8,6,4,6,8,9,7,5,3,5,3,8,6,3,5,5,5,4,0,0,5,5,4,5,5,"2"
"440",6,7,3,7,6,5,3,5,0,5,6,7,2,4,5,9,6,10,5,4,2,2,6,0,3,2,6,2,5,2,5,8,4,3,4,5,6,0,9,0,0,0,4,5,3,3,"2"
"441",9,5,1,10,10,9,0,5,0,5,3,10,9,3,6,9,5,10,7,8,1,0,5,1,10,7,6,5,5,1,7,4,9,2,2,9,6,2,6,0,0,5,6,5,2,9,"3"
"442",4,6,5,10,9,9,3,6,1,7,1,7,0,3,6,6,4,8,7,1,5,7,0,6,6,4,4,4,5,7,2,6,1,7,1,3,3,4,5,5,5,0,3,3,6,1,"1"
"443",4,5,3,10,8,6,0,5,0,6,4,6,1,4,3,8,3,10,5,2,3,5,6,4,7,6,3,3,4,6,7,5,2,6,5,7,5,5,6,2,2,6,7,5,5,6,"2"
"444",8,5,0,9,8,8,0,3,0,2,2,9,0,4,5,10,6,10,5,8,2,0,6,3,8,9,8,8,5,0,5,3,9,5,7,9,9,8,9,2,0,7,4,3,0,8,"3"
"445",7,7,0,10,10,3,0,4,0,6,6,10,7,1,6,10,5,10,5,6,0,0,8,0,8,8,7,7,6,0,3,2,7,0,8,10,5,0,4,0,0,4,3,0,0,10,"3"
"446",5,7,3,10,10,10,0,5,0,2,3,7,1,5,8,10,4,10,3,9,0,2,2,0,4,10,10,5,2,0,6,3,8,3,3,6,4,0,8,0,0,6,4,6,3,6,"2"
"447",5,7,0,10,9,10,0,2,0,2,1,8,0,2,9,9,2,10,8,5,4,2,4,2,6,6,5,3,3,2,6,3,5,2,5,5,4,3,5,2,0,2,2,5,4,5,"2"
"448",6,7,2,9,8,8,2,7,0,3,3,8,2,3,4,8,3,10,4,3,8,1,4,3,8,7,7,7,3,3,3,5,10,10,10,10,10,10,10,10,1,5,3,3,2,5,"2"
"449",5,4,5,10,9,10,5,5,0,5,2,5,0,0,0,5,5,9,7,3,0,3,0,5,3,4,5,3,0,5,5,8,2,5,2,2,2,5,5,2,0,3,3,4,5,3,"1"
"450",5,6,2,6,8,8,1,5,0,2,2,8,1,3,6,9,5,10,7,8,2,1,6,4,5,9,8,4,5,0,2,5,8,3,7,5,3,2,5,1,0,4,8,8,5,4,"2"
"451",8,7,0,10,10,10,0,3,0,1,2,8,1,2,3,9,4,10,8,8,1,3,9,6,8,9,10,7,6,2,6,6,9,5,9,9,8,5,7,0,0,7,7,8,5,7,"3"
"452",10,3,0,9,5,10,0,1,0,6,3,9,2,4,7,9,8,10,2,0,2,0,3,2,4,6,5,10,8,0,0,0,2,0,2,6,10,0,2,2,0,9,4,2,0,2,"3"
"453",0,2,4,10,10,10,2,0,9,5,1,9,0,0,0,7,7,0,4,2,0,9,0,5,0,5,7,0,0,3,7,10,2,10,0,0,0,5,5,0,0,0,6,8,5,0,"1"
"454",7,4,2,10,8,9,1,3,0,3,3,6,1,2,2,8,5,10,7,6,5,4,6,3,8,7,5,5,7,2,5,2,7,3,5,8,5,2,4,1,1,6,5,5,2,8,"3"
"455",5,2,0,10,10,10,0,0,0,4,2,7,2,3,3,8,4,10,4,7,4,0,7,8,8,9,8,10,7,0,5,2,8,2,9,10,8,0,7,0,0,8,5,2,0,9,"3"
"456",5,7,3,6,8,7,2,6,1,2,3,6,4,2,4,9,4,10,7,2,2,2,3,3,6,8,5,5,5,1,4,6,6,5,3,7,5,5,6,3,1,3,6,6,4,7,"2"
"457",9,5,0,7,7,7,0,3,0,2,3,9,3,5,6,8,5,10,5,6,0,0,8,2,6,8,9,7,5,0,3,2,7,0,6,6,5,0,4,0,0,6,6,4,0,6,"3"
"458",10,5,0,10,9,10,0,4,0,4,6,10,1,1,1,9,7,10,8,5,0,0,9,7,7,5,10,10,10,1,5,5,5,0,9,6,10,1,4,0,0,10,5,2,1,8,"3"
"459",8,4,0,9,9,9,0,3,0,5,5,10,3,4,3,9,8,10,10,2,5,0,6,5,8,5,5,5,8,0,0,5,5,5,5,5,5,5,5,5,0,9,5,0,2,9,"3"
"460",2,6,5,8,7,7,1,3,1,5,3,7,3,3,3,8,8,9,4,3,4,7,3,5,3,7,4,2,3,8,8,8,3,7,3,3,3,7,7,3,3,2,4,5,7,0,"1"
"461",9,5,2,10,7,7,2,4,0,3,5,8,1,2,3,8,6,10,0,3,3,0,8,0,8,8,9,9,8,0,3,3,5,2,8,8,8,2,4,0,0,10,5,3,2,8,"3"
"462",10,5,0,9,9,9,0,5,0,3,5,10,2,3,5,10,5,10,7,2,0,0,7,0,7,10,8,10,7,0,4,0,5,0,7,8,8,1,5,0,0,8,5,0,0,7,"3"
"463",2,7,4,10,10,10,6,9,0,5,0,5,4,1,8,5,0,5,3,0,4,3,0,5,0,5,5,0,0,3,0,8,0,3,0,0,0,3,0,7,6,0,0,0,2,0,"1"
"464",4,4,2,8,2,6,3,3,1,2,3,8,1,2,7,8,2,10,8,6,0,2,2,0,3,8,6,0,3,3,6,9,6,2,0,0,0,0,6,0,0,0,2,5,0,0,"2"
"465",1,5,5,9,8,5,3,5,0,5,4,5,1,1,6,6,5,10,0,4,0,5,0,4,0,4,5,0,3,4,4,7,0,0,0,0,0,0,0,0,0,0,4,5,0,0,"1"
"466",7,6,0,10,9,9,0,4,0,5,4,10,2,4,5,9,6,10,8,7,0,0,7,0,9,10,10,8,7,0,6,4,6,0,7,10,5,0,6,0,0,5,5,4,2,8,"3"
"467",5,8,1,9,9,6,1,5,0,7,1,9,1,2,8,10,5,10,6,2,5,2,0,5,3,5,5,5,4,0,5,5,5,5,5,5,5,5,5,5,0,2,4,6,2,3,"2"
"468",7,6,2,8,8,8,3,5,0,5,4,9,2,3,3,8,6,10,7,2,4,1,4,4,5,7,5,8,5,2,5,4,4,4,4,5,5,4,5,4,0,7,6,6,2,8,"2"
"469",7,6,0,8,5,6,0,4,0,1,4,9,3,5,7,9,6,10,5,3,1,1,5,4,2,10,9,5,1,1,1,2,5,2,8,5,3,2,4,0,0,3,2,2,2,4,"3"
"470",6,5,0,7,7,7,1,5,0,2,5,10,1,4,4,9,5,10,5,7,2,0,7,2,8,8,8,8,7,0,0,2,8,2,8,8,8,3,5,2,0,10,5,3,2,10,"3"
"471",5,3,3,10,8,8,2,5,0,3,2,8,0,2,8,9,3,10,9,4,5,2,0,4,4,4,9,8,4,2,4,8,5,5,5,5,5,5,5,5,0,3,4,4,3,3,"2"
"472",7,5,0,7,6,7,0,4,0,3,3,10,3,5,7,10,4,10,5,5,1,0,5,0,5,6,6,6,5,0,6,0,5,0,5,6,5,0,7,0,0,6,5,5,0,6,"3"
"473",10,7,0,7,7,9,0,5,0,5,5,10,0,4,6,10,5,10,5,4,0,0,0,8,3,5,8,5,10,0,3,0,2,0,0,5,10,0,2,0,0,10,3,5,0,5,"3"
"474",8,7,1,9,8,7,1,5,0,2,2,10,2,2,4,9,5,10,5,7,0,0,3,0,8,10,8,9,3,0,3,0,6,0,8,10,6,0,5,0,0,4,3,1,0,8,"3"
"475",10,5,0,10,5,6,0,1,0,4,2,10,1,4,5,10,4,10,6,5,0,0,7,0,6,6,8,10,6,0,4,0,4,0,8,6,7,0,2,0,0,8,4,3,0,7,"3"
"476",8,6,0,9,8,7,0,3,0,1,4,9,0,7,7,10,7,10,6,6,0,0,7,4,4,8,10,8,4,0,2,0,7,0,7,5,5,0,5,0,0,5,2,4,0,5,"3"
"477",5,5,1,9,8,8,1,3,0,2,3,8,1,3,7,8,5,10,7,8,0,2,7,2,7,8,10,6,3,0,6,1,8,2,6,7,4,1,6,0,0,2,4,3,1,3,"3"
"478",7,7,1,10,10,9,2,5,0,1,3,9,1,1,2,9,7,10,4,6,0,0,6,1,8,9,9,8,7,2,5,2,6,1,8,9,8,2,5,1,0,7,6,4,1,8,"3"
"479",10,6,1,10,10,10,1,4,1,4,4,10,1,4,6,8,6,9,8,5,0,0,7,10,8,10,10,10,7,2,6,10,10,10,10,10,10,10,10,10,0,7,3,5,0,4,"2"
"480",10,5,0,10,10,8,0,2,0,0,4,10,0,0,4,10,6,10,10,5,0,0,10,0,10,10,5,10,6,0,2,0,5,0,10,10,10,0,2,0,0,9,6,0,0,10,"3"
"481",5,8,5,10,10,10,2,5,0,0,10,10,10,10,10,10,0,10,5,0,0,0,0,0,0,7,10,0,0,0,10,7,0,3,0,0,0,0,10,0,0,0,3,6,4,3,"2"
"482",8,5,1,9,8,8,1,3,0,3,8,8,9,3,6,8,5,10,2,5,1,0,7,4,6,9,10,9,6,0,4,5,7,4,9,7,8,5,6,1,0,7,3,3,1,6,"3"
"483",10,5,2,9,8,9,3,5,0,3,4,8,2,5,7,9,6,10,7,6,3,0,8,5,7,9,9,10,7,0,4,5,5,1,8,7,7,2,5,1,0,7,5,5,1,6,"3"
"484",8,7,1,9,8,6,2,5,0,3,1,9,1,2,5,9,6,10,10,7,1,0,8,1,9,9,9,9,7,0,5,0,7,0,7,8,7,2,6,0,0,8,5,4,1,8,"3"
"485",6,5,2,8,3,7,2,4,2,5,4,6,6,4,6,8,5,7,7,2,2,5,2,3,2,2,2,2,2,2,0,8,2,6,2,2,2,2,2,6,6,2,2,2,2,2,"1"
"486",5,5,0,10,10,6,0,2,0,3,3,7,0,4,8,9,4,10,4,9,0,3,3,0,6,10,10,6,0,2,8,7,10,4,6,6,4,0,8,0,0,3,2,4,6,7,"2"
"487",10,7,0,10,10,5,0,3,0,0,3,10,0,5,10,10,7,10,3,6,1,0,8,0,6,10,7,8,0,0,3,0,8,0,10,8,1,0,4,0,0,2,4,4,2,6,"3"
"488",5,5,2,10,8,10,0,5,0,5,4,8,0,4,8,9,5,10,5,6,0,3,0,0,5,10,5,0,0,0,7,7,5,0,0,4,0,0,8,0,0,0,3,6,4,0,"2"
"489",10,5,2,10,10,10,0,5,0,5,5,6,5,6,5,10,8,10,8,5,0,1,1,0,8,5,10,6,5,0,2,2,4,2,5,8,5,0,4,0,0,0,4,6,2,10,"3"
"490",1,10,3,10,10,10,3,5,0,6,0,4,0,0,4,5,2,7,4,0,4,0,0,6,0,4,4,0,0,0,0,10,1,5,0,0,0,5,0,5,2,0,0,0,4,0,"1"
"491",4,6,2,7,7,5,1,5,0,5,1,6,1,3,4,10,5,10,5,0,0,6,0,8,4,6,7,0,0,10,8,5,0,7,0,5,4,8,9,4,5,0,3,6,9,3,"1"
"492",10,4,1,10,9,9,1,2,0,3,2,9,0,3,7,9,8,10,7,7,0,2,8,5,7,8,7,8,8,2,3,5,7,0,8,8,8,3,4,0,0,9,7,5,2,6,"3"
"493",3,4,3,8,9,7,7,4,0,4,3,8,8,5,6,7,5,10,0,2,0,2,0,2,1,7,10,0,4,1,6,10,3,3,1,3,4,3,7,0,0,0,4,5,6,1,"2"
"494",10,2,2,5,6,10,1,5,0,6,5,5,5,7,8,2,4,1,5,0,6,0,3,5,8,7,9,8,8,0,3,0,0,0,4,6,10,0,5,0,0,10,8,5,5,8,"2"
"495",9,4,3,3,9,7,1,5,0,0,5,10,5,2,2,8,6,10,7,7,0,7,6,0,8,10,10,10,9,1,7,0,5,0,7,9,6,2,7,0,0,8,5,4,0,10,"3"
"496",5,6,1,5,10,10,1,5,1,6,6,8,1,10,6,10,5,10,8,5,0,5,5,4,5,8,8,5,5,5,5,5,5,5,5,5,5,5,5,4,0,4,1,4,5,8,"2"
