"PERSONES_LLAR","PROVINCIA","HABITAT","COMARCA","CIUTADANIA","SEXE","EDAT","LLOC_NAIX","SIT_ECO_PERSONAL","INF_POL_DIARI_FREQ","INF_POL_TV_FREQ","INF_POL_RADIO_FREQ","INF_POL_XARXES_FREQ","INF_POL_CONEGUTS_FREQ","INF_POL_TV_CANAL","INF_POL_RADIO_EMISORA","INF_POL_PREMSA_DIARI","INF_POL_OBJ_CAP_OPOSICIO","INF_POL_OBJ_GOVERN_CAT","INF_POL_OBJ_RANG_ESCOLARITZACIO","INF_POL_OBJ_INI_ESCOLARITZACIO","INF_POL_OBJ_FI_ESCOLARITZACIO","COLLECTIU_DISCRIMINAT","LLOC_NAIX_PARE","LLOC_NAIX_MARE","GRUP_ETNIC","RELIGIO","SIT_LAB","ESTUDIS_1_15","GENERE","ORIENTACIO_SEXUAL","ESTAT_CIVIL","LLENGUA_PRIMERA","LLENGUA_IDENTIFICACIO","BENESTAR_COTXE_PROPI","BENESTAR_VACANCES","BENESTAR_SUPORT_LLAR","BENESTAR_PROPIETATS","BENESTAR_FACTURES","TIPUS_LLAR","INGRESSOS_1_15","DISCAPACITAT","Clusters"
2,"Girona","2.001-10.000 habitants","Garrotxa","Sí, tinc la ciutadania (espanyola)","Femení",56,"Catalunya","Igual","Tots els dies","Tots els dies","Tots els dies","Mai","Amb menys freqüència","TV3","Catalunya Ràdio","El Punt Avui","No ho sap","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Casat/ada","Castellà","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 3.001 a 4.000 €","No","3"
2,"Girona","2.001-10.000 habitants","Garrotxa","Sí, tinc la ciutadania (espanyola)","Masculí",97,"Fora d'Espanya","Pitjor","Mai","Mai","5-6 dies per setmana","Mai","Amb menys freqüència","No mira els informatius","No ho sap","No llegeix diaris","Aproximat","Incorrecte","Aproximat","4","16","No","Catalunya","Catalunya","Altres","Catolicisme","No treballa","Menys de 5 anys d’escolarització","Home","Heterosexual","Vidu/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Dues persones o més que no són parella","No contesta","No","2"
4,"Girona","2.001-10.000 habitants","Garrotxa","Sí, tinc la ciutadania (espanyola)","Masculí",59,"Catalunya","Pitjor","Mai","Amb menys freqüència","Amb menys freqüència","Mai","3-4 dies per setmana","TV3","Rac 1","No llegeix diaris","No ho sap","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","Està temporalment de baixa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","No","No","No","No","Parella amb fills/es","De 1.201 a 1.800 €","No","3"
2,"Girona","2.001-10.000 habitants","Garrotxa","Sí, tinc la ciutadania (espanyola)","Masculí",63,"Catalunya","Igual","Tots els dies","1-2 dies per setmana","1-2 dies per setmana","Tots els dies","5-6 dies per setmana","TV3","Catalunya Ràdio","La Vanguardia (català)","Correcte","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Cap: Agnosticisme","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella sense fills/es","De 3.001 a 4.000 €","No","3"
3,"Girona","2.001-10.000 habitants","Garrotxa","Sí, tinc la ciutadania (espanyola)","Femení",72,"Catalunya","Pitjor","Amb menys freqüència","Amb menys freqüència","Mai","Amb menys freqüència","Amb menys freqüència","TV3","No escolta els informatius","El Punt Avui","Incorrecte","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Vidu/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es i altres familiars","De 1.201 a 1.800 €","No","2"
3,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",61,"Catalunya","Pitjor","Tots els dies","Tots els dies","Tots els dies","1-2 dies per setmana","Tots els dies","Cuatro","COPE","La Vanguardia (castellà)","Incorrecte","Incorrecte","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Casat/ada","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 2.401 a 3.000 €","No","1"
5,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",40,"Catalunya","Millor","Amb menys freqüència","Amb menys freqüència","Tots els dies","Tots els dies","Tots els dies","TV3","Rac 1","VILAWEB","Correcte","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","Grau (Estudis de grau, ensenyaments artístics equivalents (Des de 2006))","Home","Heterosexual","Parella de fet","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella amb fills/es","Més de 6.000 €","No","3"
4,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",63,"Catalunya","Igual","3-4 dies per setmana","Tots els dies","Mai","3-4 dies per setmana","Tots els dies","TV3","No escolta els informatius","Ara","No ho sap","Correcte","Incorrecte","5","14","No","Catalunya","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella sense fills/es i altres familiars","De 2.001 a 2.400 €","No","3"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",32,"Catalunya","Igual","1-2 dies per setmana","Mai","Amb menys freqüència","1-2 dies per setmana","Mai","No mira els informatius","Rac 1","La Vanguardia (català)","No ho sap","Correcte","Aproximat","4","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","Grau (Estudis de grau, ensenyaments artístics equivalents (Des de 2006))","Home","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","No","Sí","No","No","No","Parella sense fills/es","De 1.801 a 2.000 €","No","3"
1,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",65,"Catalunya","Millor","Amb menys freqüència","Tots els dies","Mai","Mai","Mai","Antena 3","No escolta la ràdio / No té ràdio","20 Minutos","Incorrecte","Correcte","Incorrecte","1","18","No","Catalunya","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","Sí","No","Jo sol/a","De 2.001 a 2.400 €","No","1"
4,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",23,"Catalunya","Igual","1-2 dies per setmana","5-6 dies per setmana","Mai","3-4 dies per setmana","Amb menys freqüència","La Sexta","No escolta els informatius","Diaris esportius","No ho sap","Correcte","Aproximat","3","16","No","Catalunya","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","No treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Solter/a","Castellà","Castellà","No","Sí","No","Sí","No","Parella amb fills/es","De 3.001 a 4.000 €","No","3"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania i una altra","Femení",61,"Fora d'Espanya","Igual","Mai","Tots els dies","Mai","5-6 dies per setmana","Amb menys freqüència","La 1","No escolta la ràdio / No té ràdio","No llegeix diaris","No ho sap","Incorrecte","Aproximat","3","16","No","Fora d'Espanya","Altres comunitats autònomes","Llatí/ina","Catolicisme","No treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Casat/ada","Castellà","Castellà","No","Sí","No","No","No","Parella sense fills/es","De 1.201 a 1.800 €","No","2"
4,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",25,"Altres comunitats autònomes","Pitjor","5-6 dies per setmana","Mai","1-2 dies per setmana","Mai","Mai","No veu la TV / No té TV","SER","El País","No ho sap","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","No treballa","Diplomatura (Només diplomatures oficials, no codificar aquí els tres primers anys d’una llicenciatura o grau de més)","Dona","No contesta","Solter/a","Castellà","Castellà","No","Sí","No","Sí","No","Dues persones o més que no són parella","No ho sap","No","3"
3,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Masculí",57,"Catalunya","Pitjor","1-2 dies per setmana","Tots els dies","Tots els dies","1-2 dies per setmana","Tots els dies","TV3","RAC 105","La Vanguardia (català)","No ho sap","Correcte","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 1.801 a 2.000 €","No","3"
2,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Masculí",26,"Catalunya","Pitjor","5-6 dies per setmana","Mai","Mai","5-6 dies per setmana","Mai","No mira els informatius","Rac 1","No té cap diari habitual","No ho sap","Correcte","Aproximat","3","16","No","Catalunya","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 3.001 a 4.000 €","No","3"
4,"Girona","2.001-10.000 habitants","Garrotxa","Sí, tinc la ciutadania (espanyola)","Femení",54,"Catalunya","Igual","Tots els dies","Mai","Mai","Tots els dies","Amb menys freqüència","No mira els informatius","No escolta la ràdio / No té ràdio","El Periódico (castellà)","No ho sap","Incorrecte","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Vidu/a","Català (valencià / balear)","Català (valencià / balear)","Sí","No","Sí","Sí","No","Monoparental: pare/mare amb fills/es i altres familiars","De 2.401 a 3.000 €","No","2"
3,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Masculí",25,"Catalunya","Millor","5-6 dies per setmana","Mai","5-6 dies per setmana","Amb menys freqüència","3-4 dies per setmana","La Sexta","SER","La Vanguardia (castellà)","Correcte","Aproximat","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Home","Heterosexual","Solter/a","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","Sí","No","Monoparental: pare/mare amb fills/es","De 2.401 a 3.000 €","No","2"
4,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",58,"Catalunya","Igual","Tots els dies","Tots els dies","Tots els dies","Tots els dies","Tots els dies","TV3","Rac 1","La Vanguardia (castellà)","Correcte","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Cap: Agnosticisme","No treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","Sí","No","Parella amb fills/es","Més de 6.000 €","No","3"
1,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",71,"Catalunya","Igual","1-2 dies per setmana","Tots els dies","Mai","Mai","1-2 dies per setmana","TV3","No escolta la ràdio / No té ràdio","El Periódico (castellà)","No ho sap","No ho sap","Incorrecte","6","14","No","Catalunya","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Vidu/a","Castellà","Totes dues igual: català (valencià / balear) i castellà","No","Sí","Sí","Sí","No","Jo sol/a","De 2.001 a 2.400 €","No","2"
2,"Girona","2.001-10.000 habitants","Garrotxa","Sí, tinc la ciutadania (espanyola)","Masculí",60,"Catalunya","Pitjor","5-6 dies per setmana","5-6 dies per setmana","3-4 dies per setmana","Mai","5-6 dies per setmana","TV3","Catalunya Informació","El Punt Avui","Correcte","Correcte","Aproximat","3","16","Sí","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Homosexual (Gai/Lesbiana)","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 1001 a 1200 €","No","3"
3,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Masculí",51,"Catalunya","Pitjor","Mai","Tots els dies","Mai","Mai","Mai","No té cap canal habitual","No escolta els informatius","No llegeix diaris","No ho sap","Correcte","Incorrecte","4","14","Sí","Catalunya","Catalunya","Blanc/a","Cap: Agnosticisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Solter/a","Castellà","Català (valencià / balear)","Sí","No","No","No","Sí","Monoparental: pare/mare amb fills/es","No ho sap","No","3"
5,"Girona","2.001-10.000 habitants","Garrotxa","Sí, tinc la ciutadania (espanyola)","Femení",57,"Fora d'Espanya","Pitjor","1-2 dies per setmana","Amb menys freqüència","3-4 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","La Sexta","Catalunya Informació","Público","No ho sap","No ho sap","Aproximat","3","16","Sí","Fora d'Espanya","Fora d'Espanya","Llatí/ina","Cristianisme evangèlic/protestant","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Bisexual","Separat/ada","Castellà","Castellà","Sí","No","No","No","Sí","Dues persones o més que no són parella","De 901 a 1000 €","No","3"
4,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Masculí",50,"Catalunya","Igual","Mai","Tots els dies","Mai","Mai","1-2 dies per setmana","TV3","Rac 1","La Vanguardia (català)","No ho sap","Incorrecte","No ho sap","No ho sap","No ho sap","No","Catalunya","Catalunya","Blanc/a","Cap: Agnosticisme","Treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Parella de fet","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella amb fills/es","No ho sap","No","2"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",55,"Catalunya","Igual","5-6 dies per setmana","Tots els dies","Amb menys freqüència","Tots els dies","Tots els dies","TV3","SER","Público","Correcte","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","Treballa","Diplomatura (Només diplomatures oficials, no codificar aquí els tres primers anys d’una llicenciatura o grau de més)","Home","Heterosexual","Parella de fet","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","No","No","Parella sense fills/es","De 2.401 a 3.000 €","No","3"
3,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Femení",60,"Catalunya","Igual","Mai","Tots els dies","Mai","Mai","Mai","TV3","Rac 1","No llegeix diaris","No ho sap","Incorrecte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","No","No","Parella amb fills/es","De 2.001 a 2.400 €","Sí","3"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",21,"Catalunya","Millor","Mai","1-2 dies per setmana","Mai","3-4 dies per setmana","Amb menys freqüència","TV3","No escolta els informatius","No té cap diari habitual","No ho sap","Incorrecte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Bisexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 1.801 a 2.000 €","No","1"
4,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Femení",54,"Catalunya","Pitjor","1-2 dies per setmana","5-6 dies per setmana","Amb menys freqüència","3-4 dies per setmana","Mai","TV3","Rac 1","La Vanguardia (català)","No ho sap","Correcte","Incorrecte","3","18","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es","De 1001 a 1200 €","No","3"
1,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Masculí",33,"Altres comunitats autònomes","Pitjor","1-2 dies per setmana","Tots els dies","Mai","1-2 dies per setmana","1-2 dies per setmana","TV3","Rac 1","Altres diaris autonòmics","No ho sap","No ho sap","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Solter/a","Castellà","Castellà","Sí","Sí","No","No","No","Jo sol/a","De 1.201 a 1.800 €","No","2"
2,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Masculí",23,"Catalunya","Pitjor","Mai","Amb menys freqüència","1-2 dies per setmana","Amb menys freqüència","1-2 dies per setmana","TV3","Altres emissores estatals","No llegeix diaris","No ho sap","No ho sap","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","Sí","Monoparental: pare/mare amb fills/es","De 1.201 a 1.800 €","No","2"
